Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing,is_single_unit
1495 10th ave,"['Smoke Free', 'Laundry Facilities']",Inner Sunset,https://www.apartments.com/inner-sunset-san-francisco-ca/,0y0ws62,1495 10th Ave Unit 3,https://www.apartments.com/1495-10th-ave-san-francisco-ca/0y0ws62/,0,Un-verified,1
199 new montgomery st,"['High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Tub/Shower', 'Sprinkler System', 'Framed Mirrors', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors']",Rincon,https://www.apartments.com/rincon-san-francisco-ca/,stf91d7,199 New Montgomery St Unit 1105,https://www.apartments.com/199-new-montgomery-st-san-francisco-ca-unit-1105/stf91d7/,0,Un-verified,1
1409 33rd Ave,"['Washer/Dryer', 'Heating', 'Smoke Free', 'Tub/Shower', 'Kitchen', 'Range', 'Refrigerator', 'Hardwood Floors', 'Dining Room', 'Built-In Bookshelves', 'Crown Molding', 'Walk-In Closets', 'Furnished', 'Double Pane Windows', 'Window Coverings', 'Large Bedrooms', 'Gated', 'Deck']",Central Sunset,https://www.apartments.com/central-sunset-san-francisco-ca/,pwntcpt,1409 33rd Ave,https://www.apartments.com/1409-33rd-ave-san-francisco-ca/pwntcpt/,0,Un-verified,1
88 townsend st,"['Washer/Dryer', 'Smoke Free', 'Dishwasher', 'Kitchen', 'Hardwood Floors', 'Carpet', 'Elevator', 'Deck']",South Beach,https://www.apartments.com/south-beach-san-francisco-ca/,n08gnyp,88 Townsend St Unit Apt 309,https://www.apartments.com/88-townsend-st-san-francisco-ca-unit-apt-309/n08gnyp/,0,Un-verified,1
27 liberty st,"['Heating', 'Smoke Free', 'Fireplace', 'Eat-in Kitchen', 'Kitchen', 'Refrigerator', 'Hardwood Floors', 'Bay Window', 'Walk-In Closets', 'Laundry Facilities']",Baja Noe,https://www.apartments.com/baja-noe-san-francisco-ca/,23tmbe9,27 Liberty St Unit #1,https://www.apartments.com/27-liberty-st-san-francisco-ca/23tmbe9/,0,Un-verified,1
606 4th ave,"['Smoke Free', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Gated']",Richmond District,https://www.apartments.com/richmond-district-san-francisco-ca/,98s7p56,606 4th Ave Unit 608A,https://www.apartments.com/606-4th-ave-san-francisco-ca/98s7p56/,0,Un-verified,1
876 valencia st,[],Baja Noe,https://www.apartments.com/baja-noe-san-francisco-ca/,cljd9pf,876 Valencia St Unit A,https://www.apartments.com/876-valencia-st-san-francisco-ca-unit-a/cljd9pf/,0,Un-verified,1
1425 sanchez st,"['Washer/Dryer', 'Stainless Steel Appliances', 'Kitchen', 'Refrigerator']",Noe Valley,https://www.apartments.com/noe-valley-san-francisco-ca/,q8b2mwz,1425 Sanchez St Unit 1,https://www.apartments.com/1425-sanchez-st-san-francisco-ca-unit-1/q8b2mwz/,0,Un-verified,1
10 innes ct,"['Washer/Dryer', 'Air Conditioning', 'Smoke Free', 'Dishwasher', 'Kitchen', 'Microwave', 'Range', 'Refrigerator', 'Balcony']",Hunters Point,https://www.apartments.com/hunters-point-san-francisco-ca/,rv6ryn1,10 Innes Ct Unit 307,https://www.apartments.com/10-innes-ct-san-francisco-ca-unit-307/rv6ryn1/,0,Un-verified,1
301 mission st,"['Washer/Dryer', 'Air Conditioning', 'Smoke Free', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Hardwood Floors', 'Walk-In Closets', 'Furnished', 'Elevator', 'Storage Space', 'Fitness Center', 'Sauna', 'Pool', 'Gated', 'Yard']",Transbay,https://www.apartments.com/transbay-san-francisco-ca/,dxc5ydl,301 Mission St Unit Millennium Towers - 301 Mission St Apt 7J,https://www.apartments.com/301-mission-st-san-francisco-ca-unit-millennium-towers-301-mission-st-apt-7j/dxc5ydl/,0,Un-verified,1
400 clementina st,"['Wi-Fi', 'Washer/Dryer', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Pet Care', 'Elevator', 'Corporate Suites', 'Fitness Center', 'Bicycle Storage', 'Roof Terrace', 'Courtyard', 'Grill']",SoMa,https://www.apartments.com/soma-san-francisco-ca/,3v3k83f,400 Clementina St Unit FL7-ID332,https://www.apartments.com/400-clementina-st-san-francisco-ca-unit-fl7-id332/3v3k83f/,0,Un-verified,1
100 shotwell st,"['High Speed Internet Access', 'Wi-Fi', 'Air Conditioning', 'Heating', 'Smoke Free', 'Tub/Shower', 'Dishwasher', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Office', 'Sunroom', 'Furnished']",Mission,https://www.apartments.com/mission-san-francisco-ca/,6lexrwv,100 Shotwell St Unit 1,https://www.apartments.com/100-shotwell-st-san-francisco-ca/6lexrwv/,0,Un-verified,1
71 sanchez st,"['High Speed Internet Access', 'Wi-Fi', 'Heating', 'Smoke Free', 'Cable Ready', 'Tub/Shower', 'Dishwasher', 'Disposal', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Coffee System', 'Hardwood Floors', 'Dining Room', 'Built-In Bookshelves', 'Crown Molding', 'Walk-In Closets', 'Furnished', 'Window Coverings']",Duboce Triangle,https://www.apartments.com/duboce-triangle-san-francisco-ca/,0mqlw93,71 Sanchez St Unit 71 Sanchez Street Apt B,https://www.apartments.com/71-sanchez-st-san-francisco-ca/0mqlw93/,0,Un-verified,1
815 oak st,"['High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Washer/Dryer Hookup', 'Heating', 'Smoke Free', 'Cable Ready', 'Security System', 'Trash Compactor', 'Storage Space', 'Tub/Shower', 'Handrails', 'Intercom', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Dining Room', 'High Ceilings', 'Office', 'Recreation Room', 'Bay Window', 'Views', 'Walk-In Closets', 'Furnished', 'Loft Layout', 'Double Pane Windows', 'Window Coverings', 'Large Bedrooms']",Lower Haight,https://www.apartments.com/lower-haight-san-francisco-ca/,nqxhs0q,815 Oak St Unit 811,https://www.apartments.com/815-oak-st-san-francisco-ca/nqxhs0q/,0,Un-verified,1
835 Hyde St,"['Smoke Free', 'Kitchen', 'Furnished', 'Furnished Units Available', 'Elevator']",San Francisco,https://www.apartments.com/san-francisco-ca/,ltmv5xg,835 Hyde St,https://www.apartments.com/835-hyde-st-san-francisco-ca/ltmv5xg/,0,Un-verified,0
4186 20th st,"['Smoke Free', 'Dishwasher', 'Granite Countertops', 'Kitchen', 'Hardwood Floors', 'Laundry Facilities']",Castro,https://www.apartments.com/castro-san-francisco-ca/,nty0qbm,4186 20th St Unit 4186,https://www.apartments.com/4186-20th-st-san-francisco-ca/nty0qbm/,0,Un-verified,1
2831 san bruno ave,"['Washer/Dryer', 'Heating', 'Storage Space', 'Tub/Shower', 'Granite Countertops', 'Stainless Steel Appliances', 'Eat-in Kitchen', 'Kitchen', 'Refrigerator', 'Instant Hot Water', 'Tile Floors', 'Double Pane Windows', 'Large Bedrooms', 'Deck', 'Yard']",Portola,https://www.apartments.com/portola-san-francisco-ca/,yhwwnwr,2831 San Bruno Ave Unit # B,https://www.apartments.com/2831-san-bruno-ave-san-francisco-ca-unit-b/yhwwnwr/,0,Un-verified,1
574 2nd ave,"['Washer/Dryer', 'Heating', 'Cable Ready', 'Fireplace', 'Dishwasher', 'Disposal', 'Stainless Steel Appliances', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Breakfast Nook', 'Hardwood Floors', 'Tile Floors', 'Dining Room', 'Built-In Bookshelves', 'Bay Window', 'Linen Closet', 'Laundry Facilities', 'Pool', 'Playground', 'Patio', 'Deck', 'Yard', 'Lawn']",Richmond District,https://www.apartments.com/richmond-district-san-francisco-ca/,pwg4l7s,574 2nd Ave Unit Lower,https://www.apartments.com/574-2nd-ave-san-francisco-ca/pwg4l7s/,0,Un-verified,1
32 roach st,"['Heating', 'Smoke Free', 'Cable Ready', 'Granite Countertops', 'Refrigerator', 'Hardwood Floors', 'Laundry Facilities', 'Yard']",Russian Hill,https://www.apartments.com/russian-hill-san-francisco-ca/,m1lp0rj,32 Roach St Unit 32,https://www.apartments.com/32-roach-st-san-francisco-ca/m1lp0rj/,0,Un-verified,1
2363 19th ave,"['Smoke Free', 'Dishwasher', 'Disposal', 'Kitchen', 'Refrigerator', 'Crown Molding', 'Double Pane Windows', 'Laundry Facilities', 'Gated']",Central Sunset,https://www.apartments.com/central-sunset-san-francisco-ca/,v2ln94e,2363 19th Ave Unit 1,https://www.apartments.com/2363-19th-ave-san-francisco-ca/v2ln94e/,0,Un-verified,1
1135 de haro st,"['Washer/Dryer', 'Smoke Free', 'Dishwasher', 'Furnished']",Potrero,https://www.apartments.com/potrero-san-francisco-ca/,mntqfqh,1135 De Haro St Unit 1135,https://www.apartments.com/1135-de-haro-st-san-francisco-ca/mntqfqh/,0,Un-verified,1
1139 de haro st,"['Washer/Dryer', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Security System', 'Tub/Shower', 'Fireplace', 'Handrails', 'Framed Mirrors', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Island Kitchen', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Carpet', 'Dining Room', 'High Ceilings', 'Office', 'Built-In Bookshelves', 'Crown Molding', 'Vaulted Ceiling', 'Bay Window', 'Views', 'Skylights', 'Walk-In Closets', 'Furnished', 'Loft Layout', 'Large Bedrooms']",San Francisco,https://www.apartments.com/san-francisco-ca/,3ekcqte,1139 De Haro St Unit 1139,https://www.apartments.com/1139-de-haro-st-san-francisco-ca/3ekcqte/,0,Un-verified,1
1254 union st,"['Washer/Dryer', 'Washer/Dryer Hookup', 'Heating', 'Smoke Free', 'Storage Space', 'Tub/Shower', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Oven', 'Range', 'Refrigerator', 'Hardwood Floors', 'Dining Room', 'Built-In Bookshelves', 'Crown Molding', 'Walk-In Closets', 'Linen Closet', 'Window Coverings', 'Large Bedrooms']",Russian Hill,https://www.apartments.com/russian-hill-san-francisco-ca/,d00tp0k,1254 Union St Unit 1254 Union St,https://www.apartments.com/1254-union-st-san-francisco-ca/d00tp0k/,0,Un-verified,1
950 Pine St,"['Smoke Free', 'Laundry Facilities', 'Elevator']",Lower Nob,https://www.apartments.com/lower-nob-san-francisco-ca/,pv295yr,950 Pine St,https://www.apartments.com/950-pine-st-san-francisco-ca/pv295yr/,0,Un-verified,1
