Baths,Beds,MaxRent,Model,PropertyId,SquareFootage
2,2,4956,B6+Den,nn0qytn,"1,172"
2,2,4993,B6+Den,nn0qytn,"1,172"
2,2,5122,B6+Den,nn0qytn,"1,172"
2,2,5192,B6+Den,nn0qytn,"1,172"
2,2,5062,B6+Den,nn0qytn,"1,172"
2,2,5052,B6+Den,nn0qytn,"1,172"
2,2,5027,B6+Den,nn0qytn,"1,172"
2,2,5232,B6+Den,nn0qytn,"1,172"
2,2,5147,B6+Den,nn0qytn,"1,172"
2,2,5024,B5,nn0qytn,"1,261"
2,2,5303,B5,nn0qytn,"1,261"
2,2,5200,B5,nn0qytn,"1,261"
2,2,5054,B5,nn0qytn,"1,261"
2,2,4956,B5,nn0qytn,"1,261"
2,2,5919,B5A,nn0qytn,"1,380"
2,2,6030,B5A,nn0qytn,"1,380"
2,2,4879,B7+Den,nn0qytn,"1,207"
2,3,5442,C1,nn0qytn,"1,395"
2,3,5443,C1,nn0qytn,"1,395"
2,3,5472,C1,nn0qytn,"1,395"
2,3,5592,C1,nn0qytn,"1,395"
2,3,5613,C1,nn0qytn,"1,395"
2,3,5714,C1,nn0qytn,"1,395"
2,3,5323,C1,nn0qytn,"1,395"
2,3,5733,C1A,nn0qytn,"1,456"
1,1,2435,A1A,spddm74,707
1,1,2356,A1A,spddm74,707
1,1,2421,A1,spddm74,758
1,1,2596,A1,spddm74,758
1,1,2620,A1,spddm74,758
1,1,2469,A6,spddm74,791
1,1,2718,A6,spddm74,791
1,1,2733,A6,spddm74,791
1,1,2823,A2,spddm74,816
1,1,2737,A2,spddm74,816
1,1,2610,A8,spddm74,809
1,1,2800,A8,spddm74,809
1,1,2610,A5,spddm74,860
1,1,2695,A5,spddm74,860
1,1,2761,A3,spddm74,764
1,1,2916,A3,spddm74,764
1,1,2759,A4,spddm74,961
1,1,2818,A4,spddm74,961
1,1,2836,A7,spddm74,857
1,1,2841,A5A,spddm74,883
2,2,3587,B1,spddm74,"1,135"
2,2,3878,B1,spddm74,"1,135"
2,2,3547,B3A,spddm74,"1,281"
2,2,4531,B6,spddm74,"1,498"
2,2,4146,B6,spddm74,"1,498"
2,2,4544,B5,spddm74,"1,402"
2,2,4099,B5,spddm74,"1,402"
2,2,4259,B3,spddm74,"1,271"
2,2,4415,B3,spddm74,"1,271"
2,2,4660,B4,spddm74,"1,625"
2,2,5515,B4,spddm74,"1,625"
3,3,5100,B7,spddm74,"1,694"
1,1,4150,B,ggrmm7x,752
1,1,4400,B,ggrmm7x,752
1,1,3400,B,ggrmm7x,752
1,1,3550,B5,ggrmm7x,732
1,1,3750,B5,ggrmm7x,732
1,1,4000,B5,ggrmm7x,732
1,1,4450,B5,ggrmm7x,732
1,1,3750,A,ggrmm7x,840
1,1,3900,A,ggrmm7x,840
1,1,4100,A,ggrmm7x,840
1,1,4250,A,ggrmm7x,840
1,1,4250,A,ggrmm7x,830
1,1,4400,A,ggrmm7x,840
1,1,4400,A,ggrmm7x,830
1,1,4750,A,ggrmm7x,840
1,1,3850,B2,ggrmm7x,735
1,1,4000,K2,ggrmm7x,770
1,1,4000,B3,ggrmm7x,743
1,1,4150,B3,ggrmm7x,743
1,1,4300,B3,ggrmm7x,743
1,1,4650,B3,ggrmm7x,743
1,1,4250,I2,ggrmm7x,820
1,1,4850,I2,ggrmm7x,820
2,2,4150,M,ggrmm7x,835
2,2,5950,C2,ggrmm7x,"1,055"
2,2,5250,C2,ggrmm7x,"1,055"
2,2,5650,E2,ggrmm7x,"1,058"
2,2,5950,E2,ggrmm7x,"1,058"
2.5,2,6400,D,ggrmm7x,"1,370"
2.5,2,7050,D,ggrmm7x,"1,370"
2.5,2,7250,D,ggrmm7x,"1,370"
2,2,6650,F,ggrmm7x,"1,100"
2,2,6950,F,ggrmm7x,"1,100"
2,2,8250,F,ggrmm7x,"1,100"
2,2,3300,Unit 202,wpy01fh,"1,112"
3,4,1242,Private Bed with Shared Bath in 4b3b,13pvg74,200
3,4,1242,Private Bed with Shared Bath in 4b3b,13pvg74,220
3,4,1438,Private Bed with Shared Bath in 4b3b,13pvg74,200
3,4,1438,Private Bed with Shared Bath in 4b3b,13pvg74,220
1,1,2425,Leon,chd4nmg,675
1,1,2355,Leon,chd4nmg,675
1,1,2620,Leon,chd4nmg,675
1,1,2630,Leon,chd4nmg,675
1.5,2,3635,Toleda,chd4nmg,"1,218"
1.5,2,3657,Toleda,chd4nmg,"1,218"
1.5,2,3245,Barcelona,chd4nmg,936
1.5,2,3081,Barcelona,chd4nmg,936
2,3,3580,Navarre,chd4nmg,"1,282"
2,3,3600,Sevilla,chd4nmg,"1,371"
2,3,3620,Sevilla,chd4nmg,"1,371"
2,3,3750,Sevilla,chd4nmg,"1,371"
2,3,3875,Sevilla,chd4nmg,"1,371"
2,3,3740,Sevilla,chd4nmg,"1,371"
1,0,2200,Studio - 764 sqft,ssl2gk7,764
1,0,2200,Studio - 726 sqft,ssl2gk7,726
1,0,2250,Studio - 726 sqft,ssl2gk7,726
1,0,2250,Studio - 633 sqft,ssl2gk7,633
1,0,2350,Studio - 752 sqft,ssl2gk7,752
1,0,2627,Studio - 676 sqft,ssl2gk7,676
1,0,2745,Studio - 676 sqft,ssl2gk7,676
1,0,2200,Studio - 588 sqft,ssl2gk7,588
1,0,3270,Studio - 801 sqft,ssl2gk7,801
1,1,2350,1 Bed 1 Bath - 826 sqft,ssl2gk7,826
1,1,2300,1 Bed 1 Bath - 826 sqft,ssl2gk7,826
1,1,2350,1 Bed 1 Bath - 735 sqft,ssl2gk7,735
1,1,2400,1 Bed 1 Bath - 764 sqft,ssl2gk7,764
1,1,2400,1 Bed 1 Bath - 811 sqft,ssl2gk7,811
1,1,3543,1 Bed 1 Bath - 861 sqft,ssl2gk7,861
2,1,3900,1 Bed 2 Bath +Den - 1147 sqft,ssl2gk7,"1,147"
2,1,4055,1 Bed 2 Bath +Den - 1147 sqft,ssl2gk7,"1,147"
1,1,3040,1 Bed 1 Bath - 800 sqft,ssl2gk7,800
1,1,3075,1 Bed 1 Bath +Den - 811 sqft,ssl2gk7,811
1,1,3065,1 Bed 1 Bath - 772 sqft,ssl2gk7,772
1,2,2650,2 Bed 1 Bath - 804 sqft,ssl2gk7,804
2,2,5181,2 Bed 2 Bath +Den - 1277 sqft,ssl2gk7,"1,277"
2,3,3850,3 Bed 2 Bath - 1548 sqft,ssl2gk7,"1,548"
1,0,2935,Studio 378 Sqft,jzr53m6,378
1,0,2946,Studio 378 Sqft,jzr53m6,378
1,0,2985,Studio 378 Sqft,jzr53m6,378
1,0,2930,Studio 378 Sqft,jzr53m6,378
1,0,3091,Studio 446 Sqft,jzr53m6,446
1,0,3031,Studio 446 Sqft,jzr53m6,446
1,0,3137,Studio 446 Sqft,jzr53m6,446
1,0,3016,Studio 446 Sqft,jzr53m6,446
1,0,3021,Studio 446 Sqft,jzr53m6,446
1,1,3550,1 Bed 1 Bath 648 Sqft,jzr53m6,648
1,1,3560,1 Bed 1 Bath 648 Sqft,jzr53m6,648
1,1,3621,1 Bed 1 Bath 648 Sqft,jzr53m6,648
1,1,3657,1 Bed 1 Bath 648 Sqft,jzr53m6,648
2,2,4956,2 Bed 2 Bath 891 Sqft,jzr53m6,891
2,2,5018,2 Bed 2 Bath 891 Sqft,jzr53m6,891
2,2,4919,2 Bed 2 Bath 891 Sqft,jzr53m6,891
2,2,4977,2 Bed 2 Bath 972 Sqft,jzr53m6,972
2,2,5023,2 Bed 2 Bath 972 Sqft,jzr53m6,972
2,2,5055,2 Bed 2 Bath 972 Sqft,jzr53m6,972
2,2,5060,2 Bed 2 Bath 972 Sqft,jzr53m6,972
2,2,5026,2 Bed 2 Bath 972 Sqft,jzr53m6,972
2,2,5055,2 Bed 2 Bath 1053 Sqft,jzr53m6,"1,053"
2,2,5129,2 Bed 2 Bath 1053 Sqft,jzr53m6,"1,053"
2,2,5134,2 Bed 2 Bath 1053 Sqft,jzr53m6,"1,053"
2,2,5023,2 Bed 2 Bath 1053 Sqft,jzr53m6,"1,053"
2,2,4923,2 Bed 2 Bath 1053 Sqft,jzr53m6,"1,053"
1,1,4271,A FOUR,lgjkb4g,626
1,1,4200,A FOUR,lgjkb4g,675
1,1,4341,A FOUR,lgjkb4g,625
1,1,4341,A FOUR,lgjkb4g,626
1,1,4273,A THREE,lgjkb4g,641
1,1,4417,A THREE,lgjkb4g,707
1,1,4368,A THREE,lgjkb4g,777
1,1,4512,A THREE,lgjkb4g,713
1,1,4595,A FIVE,lgjkb4g,692
1,1,5174,A THREE LOFT,lgjkb4g,806
1,1,5245,A THREE LOFT,lgjkb4g,795
1,1,5352,A THREE LOFT,lgjkb4g,859
1,1,5458,A THREE LOFT,lgjkb4g,855
1,1,5074,A SIX FURNISHED,lgjkb4g,687
1,1,2651,A ONE *INCOME ELIGIBLE*,lgjkb4g,639
1,1,4372,A SIX,lgjkb4g,695
2,2,3497,B TWELVE *INCOME ELIGIBLE*,lgjkb4g,"1,093"
2,2,3497,B THIRTEEN *INCOME ELIGIBLE*,lgjkb4g,"1,126"
2,2,6224,B THIRTEEN,lgjkb4g,"1,126"
2,2,6279,B TWELVE,lgjkb4g,"1,093"
2,2,6222,B NINE,lgjkb4g,"1,052"
2,2,7271,B FOUR LOFT,lgjkb4g,"1,059"
2,2,6371,B FIFTEEN,lgjkb4g,"1,243"
2,3,9283,C ONE LOFT,lgjkb4g,"1,504"
2,3,8577,C ONE,lgjkb4g,"1,354"
1,1,2729,A3,414ttvj,923
1,1,3074,A4,414ttvj,"1,016"
2,2,3585,B4,414ttvj,"1,309"
1,1,2400,1 Bed,6t5p2ys,652
1,1,2400,1 Bed,6t5p2ys,672
1,1,2700,1 Bed With Loft,6t5p2ys,846
2,2,3100,2 Bed B,6t5p2ys,984
1,0,2050,S1,0lslp30,475
1,0,2000,S3,0lslp30,568
1,1,2100,C1,0lslp30,531
1,1,2200,C1,0lslp30,543
1,1,2250,C1,0lslp30,544
1,1,2100,D5,0lslp30,605
1,1,2250,F1,0lslp30,582
1,1,2300,F1,0lslp30,607
1,1,2200,D2,0lslp30,681
1,1,2350,D1,0lslp30,690
2,2,3300,T1,0lslp30,959
1,1,2348,1BR/1.0BA,jn8fx34,774
2,2,3098,2BR/2.0BA,jn8fx34,"1,200"
2,2,3198,2BR/2.0BA,jn8fx34,"1,200"
2,2,3198,2BR/2.0BA,jn8fx34,"1,150"
2,2,3298,2BR/2.0BA,jn8fx34,"1,200"
1,0,2212,S-A3-L,77hmelw,504
1,0,2606,S-A6.1,77hmelw,580
1,0,2476,S-A6.1,77hmelw,580
1,0,2667,S-A5-Y.1,77hmelw,518
1,0,2722,S-C2,77hmelw,620
1,0,2737,S-C2,77hmelw,620
1,0,2932,S-C2,77hmelw,620
1,0,2522,S-C1-Y,77hmelw,577
1,0,2820,S-C3,77hmelw,646
1,0,2257,S-A5-L.1,77hmelw,518
1,0,2267,S-A2-Y,77hmelw,495
1,1,3052,1-A2-L,77hmelw,822
1,1,3652,1-A2,77hmelw,822
1,1,3702,1-A2,77hmelw,822
1,1,3802,1-A2,77hmelw,822
1,1,3827,1-A2,77hmelw,822
1,1,3877,1-A2,77hmelw,822
1,1,3927,1-A2,77hmelw,822
1,1,3952,1-A2,77hmelw,822
1,1,4077,1-A2,77hmelw,822
1,1,4177,1-A2,77hmelw,822
1,1,4052,1-A2,77hmelw,822
1,1,3088,1-A3,77hmelw,837
1,1,3713,1-A3,77hmelw,837
