Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing,is_single_unit
9600 9th Ave NW,"['Laundry Facilities', 'Property Manager on Site', 'Video Patrol', 'Elevator', 'High Speed Internet Access', 'Smoke Free', 'Fireplace', 'Dishwasher', 'Disposal', 'Kitchen', 'Refrigerator', 'Walk-In Closets', 'Balcony', 'Patio', 'Deck']",Crown Hill,https://www.apartments.com/crown-hill-seattle-wa/,4thgyql,Blue Ridge Apartments,https://www.apartments.com/blue-ridge-apartments-seattle-wa/4thgyql/,0,verified,0
5902 22nd Ave NW,"['Hardwood Floors', 'Microwave', 'Off Street Parking', 'Laundry Facilities', 'Furnished Units Available', 'Microwave', 'Hardwood Floors']",Ballard,https://www.apartments.com/ballard-seattle-wa/,vhr3bgd,5902 Ballard,https://www.apartments.com/5902-ballard-seattle-wa/vhr3bgd/,0,verified,0
2450 Aurora Ave N,"['Bike storage & bike repair rooms', 'Bike Racks', 'Cable/Satellite Available', 'Dishwasher', 'Wi-fi access', 'All new Washers and dryers inside home', 'Covered parking', 'Large roof-top deck overlooking Lake Union', 'Hardwood Floors', 'Large Closets', 'Refrigerator', 'Flexible Lease Term Options', 'Full Size Front Loading Washers & Dryers', 'Premium Lake Union Views!!!!', 'Private deck or terrace', 'Shower/ Tub Combo', '5000 SQ. FT 24 Hour Fitness Center.', 'Amazon HUB', 'Off Street Parking', 'Patio/Balcony', 'Carpeting', 'Courtesy Patrol', 'Efficient Appliances', 'Recycling', 'View', 'Cable Ready', 'High Speed Internet Access', 'Stand Up Shower', 'Washer/Dryer', 'Window Coverings', 'Package Service', 'Wi-Fi', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Trash Pickup - Curbside', 'Recycling', 'Renters Insurance Program', 'Online Services', 'Composting', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Lounge', 'Disposal Chutes', 'Fitness Center', 'Bicycle Storage', 'Walking/Biking Trails', 'Gated', 'Sundeck', 'Courtyard', 'Grill', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Heating', 'Smoke Free', 'Cable Ready', 'Handrails', 'Dishwasher', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Oven', 'Refrigerator', 'Hardwood Floors', 'Carpet', 'Views', 'Walk-In Closets', 'Window Coverings', 'Balcony', 'Patio', 'Deck']",Queen Anne,https://www.apartments.com/queen-anne-seattle-wa/,m3yr7ml,The Hudson,https://www.apartments.com/the-hudson-seattle-wa/m3yr7ml/,3.7,verified,0
4703 9th Ave NE,"['Laundry Facilities', 'Furnished Units Available', 'Trash Pickup - Curbside', 'Public Transportation', 'Individual Locking Bedrooms', 'Walk To Campus', 'High Speed Internet Access', 'Air Conditioning', 'Heating', 'Smoke Free', 'Cable Ready', 'Tub/Shower', 'Handrails', 'Kitchen', 'Hardwood Floors', 'Dining Room', 'Walk-In Closets', 'Furnished']",University District,https://www.apartments.com/university-district-seattle-wa/,gflk8my,4703 9th Ave NE,https://www.apartments.com/4703-9th-ave-ne-seattle-wa/gflk8my/,0,verified,0
123 18th Ave E,"['Garbage Disposal', 'Volunteer Park', '96 Walk Score, 71 Bike Score', 'USB ports in all apartments', 'Full-size washer and dryer', 'Mfte Unit', 'Multi-purpose wash station (pets, bikes, gear)', 'Walk-in closets *in select apartments', 'Electric Car Stations', 'Minutes from Volunteer Park', 'Stainless steel Energy Star appliances', 'Lake and Mountain Views', 'Multipurpose Washing Station', 'Two-tone cabinetry with soft closing drawers', 'Additional Storage', 'Exquisite Views; neighborhood, city and water', 'Built in bookcase *in select apartments', 'Large Closets', 'Live on tree lined streets in East Capitol Hill', 'Miller Park', 'Bike Storage with tune up station', 'In the heart of Capitol Hill', 'Quartz Countertops with tile backsplash', ""Roof top deck with fire pit and BBQ's"", 'Two miles from Madison Park community and beach', 'Walking distance to Light Rail', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Trash Pickup - Door to Door', 'Recycling', 'Online Services', 'Pet Washing Station', 'EV Charging', 'Public Transportation', 'Elevator', 'Lounge', 'Storage Space', 'Bicycle Storage', 'Gated', 'Roof Terrace', 'Courtyard', 'Grill', 'Picnic Area', 'Washer/Dryer', 'Heating', 'Smoke Free', 'Cable Ready', 'Satellite TV', 'Storage Space', 'Tub/Shower', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Stainless Steel Appliances', 'Island Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Breakfast Nook', 'Hardwood Floors', 'Carpet', 'Built-In Bookshelves', 'Views', 'Walk-In Closets', 'Window Coverings', 'Balcony', 'Patio', 'Deck', 'Garden']",Stevens,https://www.apartments.com/stevens-seattle-wa/,jg1s415,Ruth Court,https://www.apartments.com/ruth-court-seattle-wa/jg1s415/,4.9,verified,0
1509 E Mercer St,"['Amazon Key', 'Free Oversized Washer/dryer Set', 'Great Natural Lighting', 'Newly Renovated', 'Laundry Facilities', 'Recycling', 'Composting', 'Public Transportation', 'Storage Space', 'Vintage Building', 'High Speed Internet Access', 'Washer/Dryer', 'Heating', 'Smoke Free', 'Cable Ready', 'Storage Space', 'Tub/Shower', 'Intercom', 'Dishwasher', 'Disposal', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Hardwood Floors', 'Dining Room', 'Crown Molding', 'Bay Window', 'Double Pane Windows', 'Large Bedrooms']",Stevens,https://www.apartments.com/stevens-seattle-wa/,0f8jpt3,Fredonia,https://www.apartments.com/fredonia-seattle-wa/0f8jpt3/,0,verified,0
4040 8th Ave NE,"['Laundry Facilities', 'Smoke Free', 'Carpet', 'Vinyl Flooring']",University District,https://www.apartments.com/university-district-seattle-wa/,b353wfb,Normandy,https://www.apartments.com/normandy-seattle-wa/b353wfb/,3.9,verified,0
408 Aurora Ave N,"['App-Controlled Video Intercom Entry System', 'Fireside Lobby Lounge Area', 'In-Unit Ac In Select Units', 'Outdoor Games, And Unobstructed Space Needle Views', 'West-Facing Community Bbq Grill To Take In The Sun', 'Inviting Fireside Lobby Lounge Area Sweeping Rooft', 'On-Site Management', 'Sweeping Rooftop Gathering Space', 'Fire Pit', 'Handicap Accessible', 'Private Outdoor Space', 'Bike Storage', 'Package Acceptance', 'West-Facing Community Bbq Grill', 'Ac', 'Laundry In Unit', 'Roof Deck Or Sun Deck', 'Rooftop Dog Run', 'Community Wifi', 'Access Controlled Package Room', 'App-Controlled Video Intercom Entry System On-Site', 'Courtyard', 'Gated', 'On-Site Bike Storage', 'Pet Park', 'Rooftop Dog Run For Exercising Your Pup Secure Pac', 'Unobstructed Space Needle Views From Select Units', 'Laundry Facilities', 'Maintenance on site', 'Elevator', 'Lounge', 'Bicycle Storage', 'Gated', 'Sundeck', 'Courtyard', 'Grill', 'Wi-Fi', 'Washer/Dryer', 'Intercom', 'Dishwasher', 'Hardwood Floors', 'Balcony', 'Deck']",South Lake Union,https://www.apartments.com/south-lake-union-seattle-wa/,elfzxsq,Clark Apartments,https://www.apartments.com/clark-apartments-seattle-wa/elfzxsq/,0,verified,0
500 3rd Ave W,"['Bike And Personal Storage Available', 'Laundry In Unit', 'Pet Park', 'Picnic/bbq Area', 'Controlled-Access Garage', 'Al Fresco Eating Areas', 'Gated', 'Resident Lounge With Coffee And Refreshments.', 'Additional Storage', 'Free Wi-Fi In Resident Lounge And Fitness Center', 'Rooftop Fireplace', 'Community Wifi', 'Private Outdoor Space', 'Rooftop Grilling', 'Five Minutes To Downtown', 'On-Site Management', 'Roof Deck Or Sun Deck', 'Bike Storage', 'Dog Run With Pet Station', 'Lounge', 'Online Concierge', 'Online Concierge And On-Site Management With Packa', 'Package Delivery', '24-Hour Fitness Center With Towel Service', 'Ample Parking', 'Dog Washing Station', 'Easy Access To Metro Transit Stops', 'Handicap Accessible', 'Resident Lounge With Coffee And Refreshments', 'Laundry Facilities', 'Maintenance on site', 'Concierge', 'Elevator', 'Lounge', 'Fitness Center', 'Bicycle Storage', 'Gated', 'Sundeck', 'Wi-Fi', 'Washer/Dryer', 'Fireplace', 'Dishwasher', 'Disposal', 'Microwave', 'Deck']",Lower Queen Anne,https://www.apartments.com/lower-queen-anne-seattle-wa/,7r5q27x,Latitude Apartments,https://www.apartments.com/latitude-apartments-seattle-wa/7r5q27x/,5.0,verified,0
2015 2nd ave,"['Wi-Fi', 'Washer/Dryer', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Doorman', 'Pet Care', 'Elevator', 'Corporate Suites', 'Fitness Center', 'Bicycle Storage', 'Roof Terrace', 'Courtyard', 'Grill']",Pike Place Market,https://www.apartments.com/pike-place-market-seattle-wa/,2r92xd8,2015 2nd Ave Unit FL3-ID585,https://www.apartments.com/2015-2nd-ave-seattle-wa-unit-fl3-id585/2r92xd8/,0,Un-verified,1
2305 S Plum St,"['A few units have stoves and a few units have cooktops. Most units do not have a stove or cooktop but', 'Clean, safe & friendly', 'All utilities and superfast internet included', 'Centrally located', 'Our apartments are micro studios ranging from 120 to 300 sq ft. Each apartment has a private bathroo', 'Unbeatable prices', 'All bathrooms have a shower and commode, and some have a sink in addition to the sink in the main ro', 'Flexible leases', 'Our apartments are micro studios with one main room for living and sleeping, but we also have a numb', 'Wi-Fi', 'Laundry Facilities', 'Property Manager on Site', 'Furnished Units Available', 'Renters Insurance Program', 'Multi Use Room', 'Bicycle Storage', 'Gated', 'Courtyard', 'Individual Locking Bedrooms', 'Private Bathroom', 'Individual Leases Available', 'High Speed Internet Access', 'Wi-Fi', 'Heating', 'Smoke Free', 'Cable Ready', 'Tub/Shower', 'Wheelchair Accessible (Rooms)', 'Granite Countertops', 'Microwave', 'Refrigerator', 'Freezer', 'Carpet', 'Tile Floors', 'Views', 'Loft Layout', 'Wet Bar', 'Balcony']",Atlantic,https://www.apartments.com/atlantic-seattle-wa/,6fzpzlv,Genoa,https://www.apartments.com/genoa-seattle-wa/6fzpzlv/,0,verified,0
8854 Delridge Way SW,"['Bus Stop Infront Of Apartments', 'Westwood Village', 'Target', 'Controlled Access', 'Recycling', 'Online Services', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Lounge', 'Storage Space', 'Bicycle Storage', 'Roof Terrace', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Heating', 'Smoke Free', 'Cable Ready', 'Security System', 'Storage Space', 'Tub/Shower', 'Intercom', 'Sprinkler System', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Vinyl Flooring', 'Window Coverings', 'Balcony', 'Deck']",South Delridge,https://www.apartments.com/south-delridge-seattle-wa/,b34vh19,Delridge Heights,https://www.apartments.com/delridge-heights-seattle-wa/b34vh19/,0,verified,0
1414 10th ave,"['Heating', 'Ceiling Fans', 'Dishwasher', 'Ice Maker', 'Stainless Steel Appliances', 'Pantry', 'Range', 'Refrigerator', 'Freezer', 'Basement', 'Furnished', 'Corporate Suites', 'Fitness Center', 'Yard']",Capitol Hill,https://www.apartments.com/capitol-hill-seattle-wa/,6k3jnkr,1414 10th Ave Unit 542E.501548,https://www.apartments.com/1414-10th-ave-seattle-wa-unit-542e501548/6k3jnkr/,0,Un-verified,1
315 1st Ave W,"['Refrigerator With Ice Maker', 'Rooftop terrace', 'Additional Storage', 'Pantry', 'Efficient Appliances', 'Spacious Layouts', 'Walking distance to Seattle Center and Waterfront', 'Bike racks', 'Built-In Microwave', 'Fireplace', 'Private Patios With Storage', 'Two Gas BBQ Grills', 'Washer And Dryer', 'Den/Study Space', 'Motorcycle Parking', 'Trash chute on each floor', 'Walk-In Closet', 'Package Service', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Recycling', 'Online Services', 'Composting', 'EV Charging', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Breakfast/Coffee Concierge', 'Storage Space', 'Disposal Chutes', 'Gated', 'Roof Terrace', 'Waterfront', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Trash Compactor', 'Tub/Shower', 'Fireplace', 'Dishwasher', 'Disposal', 'Ice Maker', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Carpet', 'Vinyl Flooring', 'Dining Room', 'Den', 'Walk-In Closets', 'Furnished', 'Window Coverings', 'Balcony', 'Patio']",Lower Queen Anne,https://www.apartments.com/lower-queen-anne-seattle-wa/,bmmehb9,Uptown Queen Anne,https://www.apartments.com/uptown-queen-anne-seattle-wa/bmmehb9/,0,verified,0
