Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing,is_single_unit
26 e 91st st,"['Washer/Dryer', 'Stainless Steel Appliances', 'Microwave', 'Laundry Facilities', 'Laundry Service', 'Fitness Center', 'Bicycle Storage']",Upper East Side,https://www.apartments.com/upper-east-side-new-york-ny/,e5bmeqq,26 E 91st St Unit 4A,https://www.apartments.com/26-e-91st-st-new-york-ny-unit-4a/e5bmeqq/,0,Un-verified,1
2 bed 2 bath with laundry in,[],Upper West Side,https://www.apartments.com/upper-west-side-new-york-ny/,w4g38cl,2 bed 2 bath with Laundry in unit - Upper ...,https://www.apartments.com/2-bed-2-bath-with-laundry-in-unit-upper-new-york-ny-unit-3a/w4g38cl/,0,Un-verified,1
215 w 116th st,['Maintenance on site'],Morningside Heights,https://www.apartments.com/morningside-heights-new-york-ny/,zjge3hw,215 W 116th St Unit 7E,https://www.apartments.com/215-w-116th-st-new-york-ny-unit-7e/zjge3hw/,0,Un-verified,1
814 amsterdam ave,"['Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Elevator', 'Corporate Suites', 'Courtyard']",Upper West Side,https://www.apartments.com/upper-west-side-new-york-ny/,mzg7ssk,814 Amsterdam Ave Unit FL10-ID1018,https://www.apartments.com/814-amsterdam-ave-new-york-ny-unit-fl10-id1018/mzg7ssk/,0,Un-verified,1
53 leroy st,"['Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Corporate Suites']",West Village,https://www.apartments.com/west-village-new-york-ny/,k7f11jb,53 Leroy St Unit FL1-ID1262,https://www.apartments.com/53-leroy-st-new-york-ny-unit-fl1-id1262/k7f11jb/,0,Un-verified,1
1209 Lexington Ave,"['OutdoorArea', 'Air Conditioning', 'Dishwasher', 'Hardwood Floors']",Upper East Side,https://www.apartments.com/upper-east-side-new-york-ny/,y05gsvs,1209 Lexington Avenue,https://www.apartments.com/1209-lexington-avenue-new-york-ny-unit-ph2/y05gsvs/,0,Un-verified,1
104 W 83rd St,"['Air Conditioning', 'Hardwood Floors', 'Furnished']",Upper West Side,https://www.apartments.com/upper-west-side-new-york-ny/,xqt9cxq,104 West 83rd Street,https://www.apartments.com/104-west-83rd-street-new-york-ny-unit-4d/xqt9cxq/,0,Un-verified,1
175 E 96th St,"['Air Conditioning', 'Dishwasher', 'Furnished', 'Laundry Facilities', 'Pool']",East Harlem,https://www.apartments.com/east-harlem-new-york-ny/,tcmqpn9,175 East 96th Street,https://www.apartments.com/175-east-96th-street-new-york-ny-unit-26e/tcmqpn9/,0,Un-verified,1
59 thompson st,"['Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Dishwasher', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Furnished', 'Corporate Suites', 'Balcony']",SoHo,https://www.apartments.com/soho-new-york-ny/,jsx8eb4,59 Thompson St Unit FL1-ID1143,https://www.apartments.com/59-thompson-st-new-york-ny-unit-fl1-id1143/jsx8eb4/,0,Un-verified,1
323 E 119th St,"['Air Conditioning', 'Eat-in Kitchen', 'Package Service', 'Laundry Facilities', 'Controlled Access']",East Harlem,https://www.apartments.com/east-harlem-new-york-ny/,cy3n18g,323 E 119th St,https://www.apartments.com/323-e-119th-st-new-york-ny/cy3n18g/,0,Un-verified,1
237 Sullivan St,"['Air Conditioning', 'Dishwasher', 'Hardwood Floors', 'Furnished', 'Laundry Facilities']",Greenwich Village,https://www.apartments.com/greenwich-village-new-york-ny/,hqqsk82,237 Sullivan Street,https://www.apartments.com/237-sullivan-street-new-york-ny-unit-3f/hqqsk82/,0,Un-verified,1
